Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% amount high higher/better,% framed neutral higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,Generic text feature,Words,words,Full paired dataset,2100,7,-0.8619047619047617,-4.313035714285713,2.3997142857142344,-0.9,"[-4.3, 2.4]",False,No clear difference,0.33565610003585494,2100,"+0.34 (n=2,100)",48.4%,49.6%,2.0%,Raw feature units; positive means amount high output has more/higher feature value.,Word count.,outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,2100,7,-0.3861916710613807,-1.131898850159319,0.1230679771915042,-0.39,"[-1.13, 0.12]",False,No clear difference,0.060728919580862656,2100,"+0.06 (n=2,100)",48.8%,51.0%,0.2%,Raw feature units; positive means amount high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,2100,7,0.0268207007493618,-0.0769642642128482,0.1124987813789421,0.03,"[-0.08, 0.11]",False,No clear difference,0.1011595906090563,2100,"+0.10 (n=2,100)",51.1%,48.9%,0.0%,Raw feature units; positive means amount high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,2100,7,0.0181370193781009,-0.009927631659592,0.0458246113287228,0.018,"[-0.010, 0.046]",False,No clear difference,0.20952539295098416,2100,"+0.21 (n=2,100)",26.8%,24.1%,49.1%,Within-task z-score units; positive means amount high output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Paragraphs,paragraphs,Full paired dataset,2100,7,0.0147619047619047,-0.023345238095238,0.0519047619047619,0.0,"[0.0, 0.1]",False,No clear difference,0.15707732490077864,2100,"+0.16 (n=2,100)",23.7%,23.8%,52.5%,Raw feature units; positive means amount high output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,2100,7,-0.0002042503840991,-0.7167556235394107,0.8372090674705125,0.00,"[-0.72, 0.84]",False,No clear difference,-0.0726858509499988,2100,"-0.07 (n=2,100)",49.6%,50.2%,0.2%,Raw feature units; positive means amount high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,2100,7,6.522535967938968e-05,-0.00170688443755,0.0018514508325199,0.0001,"[-0.0017, 0.0019]",False,No clear difference,0.085208378094108,2100,"+0.09 (n=2,100)",50.9%,49.1%,0.0%,Raw feature units; positive means amount high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,2100,7,0.3303819755439158,0.0543904873628174,0.6238710603924204,0.33,"[0.05, 0.62]",True,Higher for amount high,-0.0038606712595378127,2100,"+0.00 (n=2,100)",51.6%,48.3%,0.0%,Raw feature units; positive means amount high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,2100,7,0.128669563800048,0.0174703897744242,0.2461877133720492,0.13,"[0.02, 0.25]",True,Higher for amount high,0.1203463880508181,2100,"+0.12 (n=2,100)",53.6%,46.4%,0.0%,Raw feature units; positive means amount high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Paragraphs,paragraphs,Full paired dataset,2100,7,0.1066666666666666,0.0204761904761904,0.2061904761904762,0.1,"[0.0, 0.2]",True,Higher for amount high,0.09782239693380086,2100,"+0.10 (n=2,100)",29.3%,24.7%,46.0%,Raw feature units; positive means amount high output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,2100,7,0.0048712919640554,0.0028839559038105,0.0072402370462707,0.0049,"[0.0029, 0.0072]",True,Higher for amount high,0.1250982962296464,2100,"+0.13 (n=2,100)",55.6%,44.4%,0.0%,Raw feature units; positive means amount high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Words,words,Full paired dataset,2100,7,-0.792857142857143,-8.30285714285714,7.048833333333317,-0.8,"[-8.3, 7.0]",False,No clear difference,0.2830362351040336,2100,"+0.28 (n=2,100)",50.2%,49.1%,0.6%,Raw feature units; positive means amount high output has more/higher feature value.,Word count.,outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,2100,7,-0.3377264210197014,-0.8160505649305038,0.2045517297891373,-0.34,"[-0.82, 0.20]",False,No clear difference,-0.14467678162078598,2100,"-0.14 (n=2,100)",48.2%,51.6%,0.1%,Raw feature units; positive means amount high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,2100,7,0.0238968900887688,-0.0563262589830918,0.0970749186593555,0.024,"[-0.056, 0.097]",False,No clear difference,0.37369887919177297,2100,"+0.37 (n=2,100)",40.8%,40.2%,19.0%,Within-task z-score units; positive means amount high output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,2100,7,0.0670565014506539,0.0102825470181668,0.1232559941847989,0.067,"[0.010, 0.123]",True,Higher for amount high,0.4023160408336271,2100,"+0.40 (n=2,100)",51.8%,44.5%,3.7%,Within-task z-score units; positive means amount high output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,2100,7,0.0016387669873801,0.0001292218084506,0.0031248895519795,0.0016,"[0.0001, 0.0031]",True,Higher for amount high,-0.11555340671501085,2100,"-0.12 (n=2,100)",53.4%,46.5%,0.0%,Raw feature units; positive means amount high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Words,words,Full paired dataset,2100,7,-5.9780952380952375,-15.85563095238095,2.781428571428571,-6.0,"[-16, 3]",False,No clear difference,0.3617301732297748,2100,"+0.36 (n=2,100)",48.2%,51.5%,0.3%,Raw feature units; positive means amount high output has more/higher feature value.,Word count.,outputs/analysis/amount_high_vs_framed_neutral_feature_deltas_by_task.csv
