Task,Family,Feature,N gap,Arm gap (95% CI),"Arm gap, SD units (95% CI)",Gap p,N panel,Panel assoc. per SD (95% CI),Panel p
Essay writing,Generic text feature,Words,2100,"+17.03 [+15.51, +18.55]","+0.46 [+0.42, +0.50]",<0.001,2100,"+0.20 [+0.18, +0.23]",<0.001
Essay writing,Generic text feature,Rare-word rate per 1k words,2100,"+10.37 [+8.45, +12.29]","+0.47 [+0.38, +0.55]",<0.001,2100,"+0.10 [+0.07, +0.12]",<0.001
Essay writing,Generic text feature,Positive-word rate per 1k words,2100,"-2.64 [-3.41, -1.86]","-0.17 [-0.22, -0.12]",<0.001,2100,"-0.05 [-0.08, -0.03]",<0.001
Essay writing,LLM rubric marker,Argument depth,120,"+0.35 [+0.14, +0.55]","+0.39 [+0.16, +0.62]",<0.001,120,"+0.12 [+0.02, +0.22]",0.025
Essay writing,LLM rubric marker,Rhetorical coherence and closure,120,"+0.24 [+0.05, +0.43]","+0.29 [+0.06, +0.52]",0.012,120,"+0.13 [+0.02, +0.24]",0.017
Grant abstract,Generic text feature,Words,2095,"+14.43 [+12.00, +16.85]","+0.25 [+0.20, +0.29]",<0.001,2095,"+0.20 [+0.17, +0.23]",<0.001
Grant abstract,Generic text feature,Rare-word rate per 1k words,2095,"+9.69 [+8.86, +10.51]","+0.51 [+0.47, +0.56]",<0.001,2095,"+0.15 [+0.12, +0.18]",<0.001
Grant abstract,Generic text feature,Quantitative detail rate,2095,"+0.99 [+0.64, +1.33]","+0.13 [+0.08, +0.17]",<0.001,2095,"+0.22 [+0.19, +0.24]",<0.001
Grant abstract,Generic text feature,Flesch-Kincaid grade,2095,"+0.33 [+0.27, +0.40]","+0.22 [+0.18, +0.27]",<0.001,2095,"+0.08 [+0.06, +0.11]",<0.001
Grant abstract,Generic text feature,MATTR-50,2095,"+0.01 [+0.00, +0.01]","+0.33 [+0.28, +0.37]",<0.001,2095,"+0.13 [+0.10, +0.16]",<0.001
Grant abstract,LLM rubric marker,Intervention specificity,120,"+0.52 [+0.35, +0.69]","+0.63 [+0.42, +0.84]",<0.001,120,"+0.20 [+0.08, +0.32]",0.001
Grant abstract,LLM rubric marker,Evaluation rigor,120,"+0.51 [+0.34, +0.68]","+0.61 [+0.41, +0.81]",<0.001,120,"+0.20 [+0.07, +0.34]",0.003
Grant abstract,LLM rubric marker,Risk mitigation,120,"+0.49 [+0.31, +0.66]","+0.57 [+0.37, +0.77]",<0.001,120,"+0.25 [+0.13, +0.38]",<0.001
Grant abstract,LLM rubric marker,Stakeholder/context fit,120,"+0.47 [+0.32, +0.62]","+0.63 [+0.43, +0.83]",<0.001,120,"+0.21 [+0.08, +0.33]",0.001
Grant abstract,LLM rubric marker,Feasibility/readiness,120,"+0.47 [+0.30, +0.63]","+0.56 [+0.36, +0.76]",<0.001,120,"+0.25 [+0.13, +0.38]",<0.001
Grant abstract,LLM rubric marker,Measurable impact,120,"+0.45 [+0.28, +0.62]","+0.53 [+0.33, +0.74]",<0.001,120,"+0.24 [+0.11, +0.37]",<0.001
Grant abstract,LLM rubric marker,Problem significance,120,"+0.42 [+0.27, +0.57]","+0.57 [+0.36, +0.77]",<0.001,120,"+0.18 [+0.04, +0.31]",0.010
Incident postmortem,Generic text feature,Words,2100,"+66.37 [+62.12, +70.62]","+0.58 [+0.54, +0.62]",<0.001,2100,"+0.26 [+0.22, +0.30]",<0.001
Incident postmortem,Generic text feature,Rare-word rate per 1k words,2100,"+5.67 [+4.32, +7.01]","+0.29 [+0.22, +0.36]",<0.001,2100,"+0.12 [+0.10, +0.15]",<0.001
Incident postmortem,Generic text feature,Quantitative detail rate,2100,"+1.76 [+0.84, +2.68]","+0.10 [+0.05, +0.15]",<0.001,2100,"+0.23 [+0.20, +0.25]",<0.001
Incident postmortem,Generic text feature,Paragraphs,2100,"+0.31 [+0.03, +0.60]","+0.05 [+0.01, +0.10]",0.030,2100,"+0.10 [+0.07, +0.13]",<0.001
Incident postmortem,Generic text feature,MATTR-50,2100,"+0.01 [+0.00, +0.01]","+0.28 [+0.22, +0.35]",<0.001,2100,"+0.06 [+0.03, +0.09]",<0.001
Incident postmortem,LLM rubric marker,Action-item concreteness,119,"+0.36 [+0.12, +0.59]","+0.41 [+0.14, +0.69]",0.003,119,"+0.17 [+0.05, +0.30]",0.006
Incident postmortem,LLM rubric marker,Impact specificity,119,"+0.32 [+0.08, +0.56]","+0.37 [+0.09, +0.64]",0.009,119,"+0.16 [+0.03, +0.29]",0.015
Incident postmortem,LLM rubric marker,Detection/observability analysis,119,"+0.24 [+0.01, +0.48]","+0.27 [+0.01, +0.52]",0.045,119,"+0.15 [+0.03, +0.27]",0.017
