Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% moral high higher/better,% moral low higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1979,7,-1.2881801165467643,-2.334940191681099,-0.2334693565697103,-1.29,"[-2.33, -0.23]",True,Higher for moral low,-0.1211318109915017,1979,"-0.12 (n=1,979)",46.7%,53.2%,0.1%,Raw feature units; positive means moral high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1979,7,0.9271410710243996,0.2919100845389767,1.5499607111553726,0.93,"[0.29, 1.55]",True,Higher for moral high,0.04672405110734553,1979,"+0.05 (n=1,979)",53.3%,46.6%,0.1%,Raw feature units; positive means moral high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1979,7,-0.247778452055417,-0.3885251678747422,-0.1374743140903338,-0.25,"[-0.39, -0.14]",True,Higher for moral low,0.11760682392404102,1979,"+0.12 (n=1,979)",43.3%,56.6%,0.1%,Raw feature units; positive means moral high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1979,7,-0.1901044588193856,-0.4512289731111102,-0.0250780811786475,-0.2,"[-0.5, 0.0]",True,Higher for moral low,0.1363107120273714,1979,"+0.14 (n=1,979)",18.5%,28.2%,53.3%,Raw feature units; positive means moral high output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_feature_deltas_by_task.csv
Essay writing,LLM rubric marker,Counterargument/qualification,counterargument_qualification,Random actor-balanced A/B-coded sample,120,7,0.1087768440709617,0.0658263305322128,0.1512605042016806,0.11,"[0.07, 0.15]",True,Higher for moral high,-0.008581607767219413,120,-0.01 (n=120),29.2%,18.3%,52.5%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.",Which essay better anticipates objections or tradeoffs and responds to them?,outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,Generic text feature,Words,words,Full paired dataset,1829,7,21.226693450556475,14.053309847364984,29.085827840755183,21,"[14, 29]",True,Higher for moral high,0.35074042291253044,1829,"+0.35 (n=1,829)",63.6%,36.0%,0.4%,Raw feature units; positive means moral high output has more/higher feature value.,Word count.,outputs/analysis/moral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1829,7,-0.170180767189076,-0.3982999911234281,-0.0097903420680092,-0.17,"[-0.40, -0.01]",True,Higher for moral low,0.12086059994542543,1829,"+0.12 (n=1,829)",47.0%,53.0%,0.0%,Raw feature units; positive means moral high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1829,7,-0.0068089913235521,-0.0092105349354032,-0.0043138919278615,-0.0068,"[-0.0092, -0.0043]",True,Higher for moral low,0.09230846917671405,1829,"+0.09 (n=1,829)",41.1%,58.9%,0.0%,Raw feature units; positive means moral high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/moral_feature_deltas_by_task.csv
Grant abstract,LLM rubric marker,Risk mitigation,risk_mitigation,Random actor-balanced A/B-coded sample,120,7,0.2978524743230625,0.134453781512605,0.4444444444444445,0.30,"[0.13, 0.44]",True,Higher for moral high,0.5578936572967755,120,+0.56 (n=120),64.2%,34.2%,1.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.",Which abstract identifies more realistic risks and more credible mitigation plans?,outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Measurable impact,measurable_impact,Random actor-balanced A/B-coded sample,120,7,0.2502334267040149,0.1643323996265172,0.3426704014939309,0.25,"[0.16, 0.34]",True,Higher for moral high,0.42042578457280605,120,+0.42 (n=120),57.5%,32.5%,10.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.","Which abstract gives more concrete and credible expected impacts, not just larger or more dramatic claims?",outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
