Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% moral low higher/better,% framed empty higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,Generic text feature,Words,words,Full paired dataset,1979,7,-14.693563109987483,-29.68387162776079,-2.884923912556439,-15,"[-30, -3]",True,Higher for framed empty,0.32924756620567597,1979,"+0.33 (n=1,979)",34.3%,64.6%,1.1%,Raw feature units; positive means moral low output has more/higher feature value.,Word count.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1979,7,1.6026126339925617,0.989405263236173,2.323424036107203,1.60,"[0.99, 2.32]",True,Higher for moral low,-0.06580762071658428,1979,"-0.07 (n=1,979)",54.2%,45.7%,0.1%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1979,7,-1.227990487065762,-1.9486965584375169,-0.5672242297043549,-1.23,"[-1.95, -0.57]",True,Higher for framed empty,0.012676248567570662,1979,"+0.01 (n=1,979)",44.1%,55.7%,0.3%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1979,7,0.3600624411068459,0.1923745464716464,0.5135701505337139,0.36,"[0.19, 0.51]",True,Higher for moral low,0.1124593136197515,1979,"+0.11 (n=1,979)",62.3%,37.7%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1979,7,0.2855916217604557,-0.0161548536045275,0.6520286144641904,0.3,"[0.0, 0.7]",False,No clear difference,0.20125195659117148,1979,"+0.20 (n=1,979)",34.4%,17.4%,48.3%,Raw feature units; positive means moral low output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,1979,7,0.0151833341508045,-0.0674493106991599,0.1463060451836132,0.015,"[-0.067, 0.146]",False,No clear difference,0.16287651593109537,1979,"+0.16 (n=1,979)",25.8%,27.2%,46.9%,Within-task z-score units; positive means moral low output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1979,7,0.005729732735746,-0.0021375744975302,0.0139333173797034,0.0057,"[-0.0021, 0.0139]",False,No clear difference,0.016183422739522273,1979,"+0.02 (n=1,979)",55.3%,44.6%,0.1%,Raw feature units; positive means moral low output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,LLM rubric marker,Thesis and stakes framing,thesis_stakes_framing,Random actor-balanced A/B-coded sample,120,7,-0.365079365079365,-0.5490196078431372,-0.1970121381886087,-0.37,"[-0.55, -0.20]",True,Higher for framed empty,0.27323884402013815,120,+0.27 (n=120),27.5%,64.2%,8.3%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which essay presents the central claim and its stakes more clearly and compellingly?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Argument depth,argument_depth,Random actor-balanced A/B-coded sample,120,7,-0.3137254901960783,-0.5518207282913165,-0.0840336134453781,-0.31,"[-0.55, -0.08]",True,Higher for framed empty,0.5009013156867248,120,+0.50 (n=120),32.5%,64.2%,3.3%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Rhetorical coherence and closure,rhetorical_coherence_closure,Random actor-balanced A/B-coded sample,120,7,-0.2815126050420168,-0.5462184873949579,-0.0630252100840336,-0.28,"[-0.55, -0.06]",True,Higher for framed empty,0.4162882218924833,120,+0.42 (n=120),27.5%,55.8%,16.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which essay has better paragraph flow, transitions, and final synthesis?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Concrete example quality,concrete_example_quality,Random actor-balanced A/B-coded sample,120,7,-0.2203548085901026,-0.5098506069094305,0.0588235294117647,-0.22,"[-0.51, 0.06]",False,No clear difference,0.45602085444744733,120,+0.46 (n=120),37.5%,60.0%,2.5%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which essay uses the required concrete example more specifically, plausibly, and usefully?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
