Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% moral low higher/better,% framed empty higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,Generic text feature,Words,words,Full paired dataset,1979,7,-14.693563109987483,-29.68387162776079,-2.884923912556439,-15,"[-30, -3]",True,Higher for framed empty,0.32924756620567597,1979,"+0.33 (n=1,979)",34.3%,64.6%,1.1%,Raw feature units; positive means moral low output has more/higher feature value.,Word count.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1979,7,1.6026126339925617,0.989405263236173,2.323424036107203,1.60,"[0.99, 2.32]",True,Higher for moral low,-0.06580762071658428,1979,"-0.07 (n=1,979)",54.2%,45.7%,0.1%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1979,7,-1.227990487065762,-1.9486965584375169,-0.5672242297043549,-1.23,"[-1.95, -0.57]",True,Higher for framed empty,0.012676248567570662,1979,"+0.01 (n=1,979)",44.1%,55.7%,0.3%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1979,7,0.3600624411068459,0.1923745464716464,0.5135701505337139,0.36,"[0.19, 0.51]",True,Higher for moral low,0.1124593136197515,1979,"+0.11 (n=1,979)",62.3%,37.7%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,LLM rubric marker,Thesis and stakes framing,thesis_stakes_framing,Random actor-balanced A/B-coded sample,120,7,-0.365079365079365,-0.5490196078431372,-0.1970121381886087,-0.37,"[-0.55, -0.20]",True,Higher for framed empty,0.27323884402013815,120,+0.27 (n=120),27.5%,64.2%,8.3%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which essay presents the central claim and its stakes more clearly and compellingly?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Argument depth,argument_depth,Random actor-balanced A/B-coded sample,120,7,-0.3137254901960783,-0.5518207282913165,-0.0840336134453781,-0.31,"[-0.55, -0.08]",True,Higher for framed empty,0.5009013156867248,120,+0.50 (n=120),32.5%,64.2%,3.3%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Rhetorical coherence and closure,rhetorical_coherence_closure,Random actor-balanced A/B-coded sample,120,7,-0.2815126050420168,-0.5462184873949579,-0.0630252100840336,-0.28,"[-0.55, -0.06]",True,Higher for framed empty,0.4162882218924833,120,+0.42 (n=120),27.5%,55.8%,16.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which essay has better paragraph flow, transitions, and final synthesis?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,Generic text feature,Words,words,Full paired dataset,1831,7,-17.711923298251474,-34.00608105116485,-3.9544169432938463,-18,"[-34, -4]",True,Higher for framed empty,0.2097648348927776,1831,"+0.21 (n=1,831)",35.9%,63.4%,0.7%,Raw feature units; positive means moral low output has more/higher feature value.,Word count.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1831,7,0.769803407199512,0.2447488052638572,1.3151461648149831,0.77,"[0.24, 1.32]",True,Higher for moral low,0.01031353255293117,1831,"+0.01 (n=1,831)",54.3%,45.4%,0.2%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1831,7,0.6054868471952387,0.1183260802934108,1.2537880712086067,0.6,"[0.1, 1.3]",True,Higher for moral low,0.10682204534820308,1831,"+0.11 (n=1,831)",36.9%,20.5%,42.5%,Raw feature units; positive means moral low output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1831,7,0.3278035017478847,0.0666607476852112,0.6489770760024755,0.33,"[0.07, 0.65]",True,Higher for moral low,0.12057693083207342,1831,"+0.12 (n=1,831)",57.3%,42.7%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_low_vs_framed_empty_feature_deltas_by_task.csv
