Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% moral low higher/better,% R0 higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,992,7,1.616404704965655,0.560464682810561,2.470981895942338,1.62,"[0.56, 2.47]",True,Higher for moral low,-0.05281896508500342,992,-0.05 (n=992),55.9%,44.0%,0.1%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Essay writing,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,992,7,-1.5843264377885546,-2.193136904095527,-0.904811253225856,-1.58,"[-2.19, -0.90]",True,Higher for R0,-0.05766381459022708,992,-0.06 (n=992),43.9%,56.1%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Essay writing,Generic text feature,Paragraphs,paragraphs,Full paired dataset,992,7,0.2727244978259704,0.0207106791208824,0.5306262251640403,0.3,"[0.0, 0.5]",True,Higher for moral low,0.19189885011752802,992,+0.19 (n=992),39.2%,16.9%,43.9%,Raw feature units; positive means moral low output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Essay writing,Generic text feature,Words,words,Full paired dataset,992,7,-7.686232183322798,-23.127678656099704,4.97127083442873,-7.7,"[-23, 5]",False,No clear difference,0.42697815006901196,992,+0.43 (n=992),46.1%,52.9%,1.0%,Raw feature units; positive means moral low output has more/higher feature value.,Word count.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Essay writing,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,992,7,0.1757235800546052,-0.1259375856539651,0.4584786226641427,0.18,"[-0.13, 0.46]",False,No clear difference,0.16791015578789484,992,+0.17 (n=992),56.5%,43.5%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Essay writing,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,992,7,-0.113305458813333,-0.2555904413035487,0.0155434161890794,-0.113,"[-0.256, 0.016]",False,No clear difference,0.22489950927117086,992,+0.22 (n=992),22.3%,35.2%,42.5%,Within-task z-score units; positive means moral low output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Essay writing,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,992,7,0.0034486564215247,-0.0051026020648549,0.0126218673441291,0.0034,"[-0.0051, 0.0126]",False,No clear difference,0.007114732532952464,992,+0.01 (n=992),51.6%,48.3%,0.1%,Raw feature units; positive means moral low output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Essay writing,LLM rubric marker,Concrete example quality,concrete_example_quality,Random actor-balanced A/B-coded sample,120,7,-0.2815126050420168,-0.3865546218487394,-0.1848739495798319,-0.28,"[-0.39, -0.18]",True,Higher for R0,0.4274798978738171,120,+0.43 (n=120),33.3%,61.7%,5.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which essay uses the required concrete example more specifically, plausibly, and usefully?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Counterargument/qualification,counterargument_qualification,Random actor-balanced A/B-coded sample,120,7,-0.2553688141923436,-0.4215686274509804,-0.1008403361344537,-0.26,"[-0.42, -0.10]",True,Higher for R0,0.0917297054323671,120,+0.09 (n=120),18.3%,44.2%,37.5%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which essay better anticipates objections or tradeoffs and responds to them?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Rhetorical coherence and closure,rhetorical_coherence_closure,Random actor-balanced A/B-coded sample,120,7,-0.2240896358543417,-0.3445378151260504,-0.1008403361344537,-0.22,"[-0.34, -0.10]",True,Higher for R0,0.397808588004813,120,+0.40 (n=120),29.2%,51.7%,19.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which essay has better paragraph flow, transitions, and final synthesis?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
