Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% utility high higher/better,% utility low higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,Generic text feature,Words,words,Full paired dataset,2100,7,0.3399999999999999,-0.868095238095238,1.4790476190476187,0.3,"[-0.9, 1.5]",False,No clear difference,0.29507651518356465,2100,"+0.30 (n=2,100)",49.1%,49.2%,1.6%,Raw feature units; positive means utility high output has more/higher feature value.,Word count.,outputs/analysis/utility_feature_deltas_by_task.csv
Essay writing,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,2100,7,0.2184004378593271,-0.3274064072748237,0.8688897442334343,0.22,"[-0.33, 0.87]",False,No clear difference,0.07387164823506437,2100,"+0.07 (n=2,100)",51.3%,48.4%,0.3%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/utility_feature_deltas_by_task.csv
Essay writing,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,2100,7,-0.03688146292457,-0.4502585118411508,0.4741317370771381,-0.04,"[-0.45, 0.47]",False,No clear difference,-0.13122365671775724,2100,"-0.13 (n=2,100)",49.0%,51.0%,0.0%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/utility_feature_deltas_by_task.csv
Essay writing,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,2100,7,0.012401752426746,-0.0176631019411231,0.0417196830689134,0.012,"[-0.018, 0.042]",False,No clear difference,,0,,25.4%,26.6%,48.0%,Within-task z-score units; positive means utility high output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/utility_feature_deltas_by_task.csv
Essay writing,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,2100,7,0.012102348813229,-0.046923511671176,0.0717957624283938,0.01,"[-0.05, 0.07]",False,No clear difference,0.13254429215754218,2100,"+0.13 (n=2,100)",50.1%,49.9%,0.0%,Raw feature units; positive means utility high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/utility_feature_deltas_by_task.csv
Essay writing,Generic text feature,Paragraphs,paragraphs,Full paired dataset,2100,7,-0.0104761904761904,-0.0914285714285714,0.0542857142857142,0.0,"[-0.1, 0.1]",False,No clear difference,0.13892244822892533,2100,"+0.14 (n=2,100)",23.9%,23.6%,52.5%,Raw feature units; positive means utility high output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/utility_feature_deltas_by_task.csv
Essay writing,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,2100,7,0.0003924831219707,-0.0001909320838114,0.0011080127032086,0.0004,"[-0.0002, 0.0011]",False,No clear difference,0.10297266278337372,2100,"+0.10 (n=2,100)",50.1%,49.9%,0.0%,Raw feature units; positive means utility high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/utility_feature_deltas_by_task.csv
Essay writing,LLM rubric marker,Counterargument/qualification,counterargument_qualification,Random actor-balanced A/B-coded sample,120,7,-0.1493930905695611,-0.2567693744164332,-0.0485527544351073,-0.15,"[-0.26, -0.05]",True,Higher for utility low,0.2364245862680361,120,+0.24 (n=120),21.7%,36.7%,41.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.",Which essay better anticipates objections or tradeoffs and responds to them?,outputs/analysis/task_rubric_feature_coding/utility__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Thesis and stakes framing,thesis_stakes_framing,Random actor-balanced A/B-coded sample,120,7,-0.1414565826330532,-0.257703081232493,-0.0336134453781512,-0.14,"[-0.26, -0.03]",True,Higher for utility low,0.34368957662587274,120,+0.34 (n=120),36.7%,50.8%,12.5%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.",Which essay presents the central claim and its stakes more clearly and compellingly?,outputs/analysis/task_rubric_feature_coding/utility__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Argument depth,argument_depth,Random actor-balanced A/B-coded sample,120,7,-0.1167133520074696,-0.2605042016806723,0.042016806722689,-0.12,"[-0.26, 0.04]",False,No clear difference,0.49179519895813023,120,+0.49 (n=120),43.3%,55.0%,1.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",outputs/analysis/task_rubric_feature_coding/utility__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Rhetorical coherence and closure,rhetorical_coherence_closure,Random actor-balanced A/B-coded sample,120,7,-0.0756302521008403,-0.2100840336134453,0.0336134453781512,-0.08,"[-0.21, 0.03]",False,No clear difference,0.3904262361448035,120,+0.39 (n=120),38.3%,45.8%,15.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which essay has better paragraph flow, transitions, and final synthesis?",outputs/analysis/task_rubric_feature_coding/utility__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
