Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% utility high higher/better,% framed empty higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,Generic text feature,Words,words,Full paired dataset,2100,7,-6.533333333333333,-18.783785714285717,2.3676190476190477,-6.5,"[-19, 2]",False,No clear difference,0.3497760611355167,2100,"+0.35 (n=2,100)",42.6%,55.7%,1.7%,Raw feature units; positive means utility high output has more/higher feature value.,Word count.,outputs/analysis/utility_high_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,2100,7,0.3357978097586023,-0.4064884971232655,1.208007331879836,0.34,"[-0.41, 1.21]",False,No clear difference,0.05558439366411943,2100,"+0.06 (n=2,100)",50.3%,49.6%,0.1%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/utility_high_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Paragraphs,paragraphs,Full paired dataset,2100,7,0.1247619047619047,-0.0409880952380952,0.3009523809523809,0.1,"[0.0, 0.3]",False,No clear difference,0.15232825444050294,2100,"+0.15 (n=2,100)",29.6%,20.2%,50.2%,Raw feature units; positive means utility high output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/utility_high_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,2100,7,0.0708037726123159,-0.0555279038327013,0.1944293568515369,0.07,"[-0.06, 0.19]",False,No clear difference,0.08005523444654779,2100,"+0.08 (n=2,100)",52.4%,47.6%,0.0%,Raw feature units; positive means utility high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/utility_high_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,2100,7,0.0156320937654241,-0.8772620921030184,0.7407440835453866,0.02,"[-0.88, 0.74]",False,No clear difference,-0.05028215524282662,2100,"-0.05 (n=2,100)",50.6%,49.4%,0.0%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/utility_high_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,2100,7,0.0050450417495396,-0.049889857301003,0.0736202388636524,0.005,"[-0.050, 0.074]",False,No clear difference,0.14873169177011522,2100,"+0.15 (n=2,100)",26.2%,26.7%,47.1%,Within-task z-score units; positive means utility high output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/utility_high_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,2100,7,0.0029702994738788,-0.0015423201842375,0.0092626346859548,0.0030,"[-0.0015, 0.0093]",False,No clear difference,0.02389038592885051,2100,"+0.02 (n=2,100)",52.4%,47.5%,0.0%,Raw feature units; positive means utility high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/utility_high_vs_framed_empty_feature_deltas_by_task.csv
Essay writing,LLM rubric marker,Thesis and stakes framing,thesis_stakes_framing,Random actor-balanced A/B-coded sample,119,7,-0.2117763772175536,-0.4117647058823528,0.0050186741363211,-0.21,"[-0.41, 0.01]",False,No clear difference,0.05055813734542991,119,+0.05 (n=119),29.4%,50.4%,20.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.",Which essay presents the central claim and its stakes more clearly and compellingly?,outputs/analysis/task_rubric_feature_coding/utility_high_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Rhetorical coherence and closure,rhetorical_coherence_closure,Random actor-balanced A/B-coded sample,119,7,-0.2073412698412698,-0.4117647058823529,0.0111461251167133,-0.21,"[-0.41, 0.01]",False,No clear difference,0.24088888281482093,119,+0.24 (n=119),24.4%,45.4%,30.3%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which essay has better paragraph flow, transitions, and final synthesis?",outputs/analysis/task_rubric_feature_coding/utility_high_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Argument depth,argument_depth,Random actor-balanced A/B-coded sample,119,7,-0.1809056956115779,-0.4117647058823529,0.0898692810457516,-0.18,"[-0.41, 0.09]",False,No clear difference,0.20191535984548364,119,+0.20 (n=119),39.5%,58.0%,2.5%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",outputs/analysis/task_rubric_feature_coding/utility_high_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Concrete example quality,concrete_example_quality,Random actor-balanced A/B-coded sample,119,7,-0.1542366946778711,-0.4033613445378151,0.1062675070028011,-0.15,"[-0.40, 0.11]",False,No clear difference,0.20487584236391088,119,+0.20 (n=119),39.5%,55.5%,5.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which essay uses the required concrete example more specifically, plausibly, and usefully?",outputs/analysis/task_rubric_feature_coding/utility_high_vs_framed_empty/rubric_feature_analysis_by_task_dimension.csv
