Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% utility high higher/better,% R0 higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,1050,7,-0.1237734115478569,-0.2200509128276876,-0.0486637654861961,-0.124,"[-0.220, -0.049]",True,Higher for R0,0.213143697800737,1050,"+0.21 (n=1,050)",22.6%,36.4%,41.0%,Within-task z-score units; positive means utility high output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Essay writing,Generic text feature,Words,words,Full paired dataset,1050,7,1.6209523809523805,-9.989142857142856,9.491690476190472,1.6,"[-10.0, 9.5]",False,No clear difference,0.3275583428303503,1050,"+0.33 (n=1,050)",54.4%,44.0%,1.6%,Raw feature units; positive means utility high output has more/higher feature value.,Word count.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Essay writing,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1050,7,-0.2374870640411032,-0.8739946804562365,0.596513079938289,-0.24,"[-0.87, 0.60]",False,No clear difference,-0.0012848510496554519,1050,"+0.00 (n=1,050)",49.0%,50.8%,0.3%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Essay writing,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1050,7,-0.1255426283245502,-0.4031065342859376,0.1752011259940846,-0.13,"[-0.40, 0.18]",False,No clear difference,0.12384976459752474,1050,"+0.12 (n=1,050)",46.5%,53.5%,0.0%,Raw feature units; positive means utility high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Essay writing,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1050,7,-0.1167260748523353,-1.281922578473134,1.140138142457644,-0.12,"[-1.28, 1.14]",False,No clear difference,-0.0677742660258733,1050,"-0.07 (n=1,050)",49.4%,50.5%,0.1%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Essay writing,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1050,7,0.0695238095238095,-0.2066666666666666,0.3447619047619047,0.1,"[-0.2, 0.3]",False,No clear difference,0.09241513931573436,1050,"+0.09 (n=1,050)",33.3%,18.7%,48.0%,Raw feature units; positive means utility high output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Essay writing,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1050,7,-0.0006600224622938,-0.0070450261938785,0.0066042650238563,-0.0007,"[-0.0070, 0.0066]",False,No clear difference,0.05060085149492691,1050,"+0.05 (n=1,050)",48.4%,51.5%,0.1%,Raw feature units; positive means utility high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Essay writing,LLM rubric marker,Counterargument/qualification,counterargument_qualification,Random actor-balanced A/B-coded sample,119,7,-0.2308006535947712,-0.4201680672268907,-0.0147058823529411,-0.23,"[-0.42, -0.01]",True,Higher for R0,0.2692620639755632,119,+0.27 (n=119),22.7%,46.2%,31.1%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.",Which essay better anticipates objections or tradeoffs and responds to them?,outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Thesis and stakes framing,thesis_stakes_framing,Random actor-balanced A/B-coded sample,119,7,-0.2302754435107376,-0.3949579831932773,-0.005485527544351,-0.23,"[-0.39, -0.01]",True,Higher for R0,0.37579314234217875,119,+0.38 (n=119),31.9%,55.5%,12.6%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.",Which essay presents the central claim and its stakes more clearly and compellingly?,outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Concrete example quality,concrete_example_quality,Random actor-balanced A/B-coded sample,119,7,-0.2059990662931839,-0.4444444444444445,0.0533700980392152,-0.21,"[-0.44, 0.05]",False,No clear difference,0.36550971100805413,119,+0.37 (n=119),37.8%,58.8%,3.4%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which essay uses the required concrete example more specifically, plausibly, and usefully?",outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Rhetorical coherence and closure,rhetorical_coherence_closure,Random actor-balanced A/B-coded sample,119,7,-0.1733193277310924,-0.3529411764705882,0.0346638655462184,-0.17,"[-0.35, 0.03]",False,No clear difference,0.40385186585112826,119,+0.40 (n=119),31.1%,48.7%,20.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which essay has better paragraph flow, transitions, and final synthesis?",outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Avoids plausibility overreach,plausibility_overreach,Random actor-balanced A/B-coded sample,119,7,-0.0172735760971055,-0.0588235294117647,0.0158730158730158,-0.02,"[-0.06, 0.02]",False,No clear difference,0.0741033149026679,119,+0.07 (n=119),1.7%,3.4%,95.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which essay better avoids exaggerated, awkward, unsupported, or factually dubious claims?",outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Argument depth,argument_depth,Random actor-balanced A/B-coded sample,119,7,-0.0081699346405228,-0.157563025210084,0.130485527544351,-0.01,"[-0.16, 0.13]",False,No clear difference,0.2980284653152077,119,+0.30 (n=119),48.7%,49.6%,1.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored utility high output.","Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",outputs/analysis/task_rubric_feature_coding/utility_high_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,Generic text feature,Words,words,Full paired dataset,1050,7,24.75428571428571,14.61809523809524,35.870309523809496,25,"[15, 36]",True,Higher for utility high,0.2757441009566608,1050,"+0.28 (n=1,050)",66.7%,32.5%,0.9%,Raw feature units; positive means utility high output has more/higher feature value.,Word count.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1050,7,-1.6618397860480394,-2.3283296310014348,-1.1758159235058163,-1.66,"[-2.33, -1.18]",True,Higher for R0,-0.17774978962466992,1050,"-0.18 (n=1,050)",44.0%,55.8%,0.2%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1050,7,0.8827343648335904,0.2239281801854303,1.4314622208168388,0.88,"[0.22, 1.43]",True,Higher for utility high,-0.0020763983911598607,1050,"+0.00 (n=1,050)",53.8%,46.1%,0.1%,Raw feature units; positive means utility high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1050,7,0.3561904761904761,0.1371428571428571,0.5952380952380952,0.4,"[0.1, 0.6]",True,Higher for utility high,0.1499179894277964,1050,"+0.15 (n=1,050)",36.8%,22.5%,40.8%,Raw feature units; positive means utility high output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1050,7,-0.0079113544917774,-0.0124520351355161,-0.0033718707147297,-0.0079,"[-0.0125, -0.0034]",True,Higher for R0,0.10094212418946347,1050,"+0.10 (n=1,050)",39.9%,60.0%,0.1%,Raw feature units; positive means utility high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/utility_high_vs_r0_feature_deltas_by_task.csv
